uniquenames,finalname
codigo_paquetes,package_id
variedad_a,variety_a
variedad_b,variety_b
variedad_c,variety_c
observadores,drop
name_user,drop1
name_family,drop2
village,village
district,district
telephone,drop3
gender,gender
age,age
location_longitude_seed_delivery_point,deliver_point_longitude
location_latitude_seed_delivery_point,deliver_point_latitude
location_altitude,drop4
location_longitude,trial_longitude
location_latitude,trial_latitude
planting_date,planting_date
harvest_date,harvest_date
how_much_did_it_rain_during_the_crop_season,how_much_did_it_rain_during_the_crop_season
how_was_the_rain,how_was_the_rain
was_the_crop_season_warmer_or_colder_than_usual,was_the_crop_season_warmer_or_colder_than_usual
weight_of_all_yield_of_the_variety_a_in_kg,yield_variety_a_kg
weight_of_all_yield_of_the_variety_b_in_kg,yield_variety_b_kg
weight_of_all_yield_of_the_variety_c_in_kg,yield_variety_c_kg
from_the_3_varieties_which_one_would_you_like_to_grow_again,grown_again
vigor_best,vigor_best
vigor_worst,vigor_worst
faster_maturity_best,faster_maturity_best
faster_maturity_worst,faster_maturity_worst
overall_performance_best,overall_performance_best
overall_performance_worst,overall_performance_worst
evaluation,drop5
crop,crop
disease_resistance_best,disease_resistance_best
disease_resistance_worst,disease_resistance_worst
yield_best,yield_best
yield_worst,yield_worst
value_in_the_market_best,market_value_best
value_in_the_market_worst,market_value_worst
lodging_problem_best,lodging_tolerance_best
lodging_problem_worst,lodging_tolerance_worst
daptability_to_local_environment_best,adaptability_to_local_environment_best
daptability_to_local_environment_worst,adaptability_to_local_environment_worst
iomass_yield_best,biomass_yield_best
iomass_yield_worst,biomass_yield_worst
panicle_performance_best,panicle_performance_best
panicle_performance_worst,panicle_performance_worst
overall_performance_vs_localetterworse_best,drop6
overall_performance_vs_localetterworse_worst,drop7
variedad_c_10,drop8
which_variety_has_more_tillers_per_plant_best,tillering_capacity_best
which_variety_has_more_tillers_per_plant_worst,tillering_capacity_worst
spike_length_best,spike_length_best
spike_length_worst,spike_length_worst
frost_resistance_best,frost_resistance_best
frost_resistance_worst,frost_resistance_worst
variedad_c_11,drop9
ird_attack_best,bird_attack_best
ird_attack_worst,bird_attack_worst
tillering_capacity_best,tillering_capacity_best
tillering_capacity_worst,tillering_capacity_worst
pod_performance_best,pod_performance_best
