"","trial","crop","planting_date_avg","planting_date_min","planting_date_max"
"1","2017_amh_achefer_fingermillet","fingermillet",2009-10-09,2009-10-09,2009-10-09
"2","2017_amh_bdu_habru_sorghum","sorghum",2009-11-11,2009-11-02,2009-11-19
"3","2017_amh_dejen_tef","teff",2009-12-02,2009-11-15,2009-12-25
"4","2017_amh_dera_fingermillet","fingermillet",2009-10-10,2009-10-03,2009-11-09
"5","2017_amh_faggeta_fingermillet","fingermillet",2009-11-09,2009-11-09,2009-11-11
"6","2017_amh_faggeta_tef","teff",2009-11-09,2009-11-09,2009-11-11
"7","2017_amh_habru_sorghum","sorghum",2009-11-11,2009-11-02,2009-11-19
"8","2017_amh_meket_wheat","breadwheat",2009-10-30,2009-10-03,2009-11-30
"9","2017_amh_meket_wheat","durumwheat",2009-10-30,2009-10-03,2009-11-30
"10","2017_amh_meket_wheat","wheat",2009-10-30,2009-10-03,2009-11-30
"11","2017_oe_fedis_sorghum","sorghum",2009-11-18,2009-11-15,2009-11-21
"12","2017_osw_bosat_2kebele_sorghum","sorghum",2017-07-13,2017-06-06,2017-07-30
"13","2017_osw_bosat_haricotbean","commonbean",2017-07-07,2017-06-12,2017-07-29
"14","2017_osw_bosat_haricotbean","haricotbean",2017-07-07,2017-06-12,2017-07-29
"15","2017_osw_dugda_foodbarley","barley",2017-07-08,2017-06-21,2017-08-12
"16","2017_osw_goro_haricotbean","haricotbean",2017-07-24,2017-07-24,2017-07-24
"17","2017_osw_goro_haricotbean","commonbean",2017-07-24,2017-07-24,2017-07-24
"18","2017_osw_lume_dugda_sire_fababean","fababean",2017-07-15,2017-05-11,2018-06-24
"19","2017_osw_sire_foodbarley","barley",2017-07-21,2017-05-04,2018-05-24
"20","2017_osw_tole_chickpea","chickpea",2017-09-06,2017-08-01,2018-08-24
"21","2017_snnpr_chena_fababean","fababean",2017-09-02,2017-08-13,2017-09-12
"22","2017_snnpr_dalochahumbo_tef","teff",2017-07-09,2017-04-08,2017-09-08
"23","2017_snnpr_derashe_sorghum","sorghum",2017-05-17,2017-01-06,2017-09-05
"24","2017_snnpr_kedidagamela_haricotbean","commonbean",2009-08-22,2009-04-08,2009-12-08
"25","2017_snnpr_kedidagamela_haricotbean","haricotbean",2009-08-22,2009-04-08,2009-12-08
"26","2017_tigray_adwa_wheat","breadwheat",2017-07-16,2017-07-13,2017-07-20
"27","2017_tigray_adwa_wheat","wheat",2017-07-16,2017-07-13,2017-07-20
"28","2018_amh_achefer_haricotbean","commonbean",2010-10-21,2010-10-04,2010-11-20
"29","2018_amh_achefer_haricotbean","haricotbean",2010-10-21,2010-10-04,2010-11-20
"30","2018_amh_dabat_wheat","breadwheat",2014-11-14,2008-06-27,2018-12-06
"31","2018_amh_dabat_wheat","wheat",2014-11-14,2008-06-27,2018-12-06
"32","2018_amh_dejen_fababean","fababean",2018-04-18,2018-01-07,2018-11-07
"33","2018_amh_dera_fingermillet","fingermillet",2010-10-18,2010-09-15,2010-11-11
"34","2018_amh_fagita_tef","teff",2010-10-24,2010-10-15,2010-10-28
"35","2018_amh_gonchasiso_teff","teff",2018-07-23,2018-07-05,2019-07-24
"36","2018_amh_gonchasiso_wheat","breadwheat",2018-06-23,2011-07-12,2018-11-29
"37","2018_amh_habru_sorghum","sorghum",2015-01-26,2010-11-03,2018-07-30
"38","2018_amh_habru_tef","teff",2018-07-20,2018-07-10,2018-08-01
"39","2018_amh_meket_wheat2","breadwheat",2018-07-10,2018-07-03,2018-07-30
"40","2018_amh_meket_wheat2","wheat",2018-07-10,2018-07-03,2018-07-30
"41","2018_amh_northachefer_tef","teff",2010-11-22,2010-11-02,2010-12-25
"42","2018_amhara_bdu_fieldpea","fieldpea",2018-05-13,2015-07-18,2018-07-15
"43","2018_oe_chiro_haricotbean","haricotbean",2010-11-15,2010-11-03,2010-12-01
"44","2018_oe_chiro_haricotbean","commonbean",2010-11-15,2010-11-03,2010-12-01
"45","2018_oe_chiro_maize","maize",2010-10-22,2010-10-02,2010-11-21
"46","2018_oe_doba_chickpea","chickpea",2010-12-17,2010-12-04,2010-12-30
"47","2018_oe_doba_maize","maize",2010-10-26,2010-10-03,2010-11-29
"48","2018_oe_doba_wheat","breadwheat",2010-11-23,2010-11-12,2010-11-29
"49","2018_oe_doba_wheat","wheat",2010-11-23,2010-11-12,2010-11-29
"50","2018_oe_fedis_durumwheat","durumwheat",2011-01-18,2010-01-03,2015-12-16
"51","2018_oe_girawa_tef","teff",2010-12-20,2010-12-04,2011-01-05
"52","2018_oe_grawa_haricotbean","haricotbean",2010-12-15,2010-12-13,2010-12-26
"53","2018_oe_grawa_haricotbean","commonbean",2010-12-15,2010-12-13,2010-12-26
"54","2018_oe_grawa_wheat","breadwheat",2010-12-06,2010-11-16,2011-11-27
"55","2018_oe_jarso_wheat","breadwheat",2010-11-10,2010-10-10,2011-11-16
"56","2018_oe_jarso_wheat","wheat",2010-11-10,2010-10-10,2011-11-16
"57","2018_oe_meta_hakabas_maize","maize",2010-09-13,2010-02-10,2010-11-26
"58","2018_oe_meta_haqabas_maize","maize",2010-09-14,2010-02-10,2010-11-26
