"crop","variety","variety_harmonized"
"barley","1307",""
"barley","1493",""
"barley","1993",""
"barley","4193",""
"barley","4198",""
"barley","abdane",""
"barley","abdene",""
"barley","adona",""
"barley","adoshe",""
"barley","agegnehu",""
"barley","agengehu",""
"barley","aquilla",""
"barley","baso",""
"barley","bentu",""
"barley","biftu",""
"barley","burguda",""
"barley","cross 41",""
"barley","cross 41/98",""
"barley","cross#41198",""
"barley","cross41/98",""
"barley","dafo",""
"barley","debark",""
"barley","debark1",""
"barley","defo",""
"barley","dimtu ",""
"barley","dinsho",""
"barley","diribe",""
"barley","eh 1493",""
"barley","eh-1307",""
"barley","eh-1493",""
"barley","eh1493",""
"barley","elala 1",""
"barley","elala 2",""
"barley","ergalem",""
"barley","ergalem (local)",""
"barley","ergalem(local)",""
"barley","estayish",""
"barley","felamit",""
"barley","felamity",""
"barley","fetina",""
"barley","gobe",""
"barley","golden eye",""
"barley","guta",""
"barley","habru",""
"barley","hager",""
"barley","harbu",""
"barley","hb",""
"barley","hb 1307",""
"barley","hb 1966",""
"barley","hb gondar",""
"barley","hb-42",""
"barley","hb1307",""
"barley","hb1965",""
"barley","hb1966",""
"barley","hb1968",""
"barley","hirity",""
"barley","hirti",""
"barley","iar -485",""
"barley","ibon174/03",""
"barley","illala 1",""
"barley","illala 2",""
"barley","local oromia",""
"barley","mesrach",""
"barley","mezezo",""
"barley","rebena",""
"barley","robera",""
"barley","sabini",""
"barley","saesa",""
"barley","shage",""
"barley","shedeho",""
"barley","shedho",""
"barley","shegaye",""
"barley","shege",""
"barley","tirit",""
"barley","waro",""
"barley","welelay",""
"barley","yedogit",""
"barley","zena",""
"blackcumin","aden",""
"blackcumin","derbera",""
"blackcumin","dershiye",""
"blackcumin","gemechis",""
"blackcumin","silingo",""
"blackcumin","sooressa",""
"breadwheat","dembal",""
"breadwheat","dendea",""
"breadwheat","hidase",""
"breadwheat","kingbird",""
"breadwheat","lemu",""
"breadwheat","liban",""
"breadwheat","mandoyou",""
"breadwheat","obora",""
"breadwheat","ogolcho",""
"breadwheat","senate",""
"breadwheat","wane",""
"chickpea","ararti",""
"chickpea","arerti",""
"chickpea","bilallo",""
"chickpea","burkitu",""
"chickpea","bursa",""
"chickpea","chefe",""
"chickpea","dalota",""
"chickpea","dera",""
"chickpea","dimtu",""
"chickpea","ejere",""
"chickpea","habiro",""
"chickpea","habru",""
"chickpea","haranna",""
"chickpea","hora",""
"chickpea","hursa",""
"chickpea","jiidhaa",""
"chickpea","kasech",""
"chickpea","lammiif",""
"chickpea","letu",""
"chickpea","mariye",""
"chickpea","megeri",""
"chickpea","minjar",""
"chickpea","naatoli",""
"chickpea","nastewal",""
"chickpea","natoli",""
"chickpea","shasho",""
"chickpea","taji",""
"chickpea","teji",""
"chickpea","tekatay",""
"chickpea","teketay",""
"chickpea","tullushenen",""
"chickpea","weyitu",""
"commonbean","awash 1",""
"commonbean","awash 2",""
"commonbean","ibado",""
"commonbean","nasir",""
"commonbean","ramad",""
"commonbean","ramada",""
"commonbean","tatu",""
"durumwheat","alem tena",""
"durumwheat","alemtena",""
"durumwheat","bakkalcha",""
"durumwheat","dendea",""
"durumwheat","digalo",""
"durumwheat","dinkinesh",""
"durumwheat","dire",""
"durumwheat","donmatteo",""
"durumwheat","ejersa",""
"durumwheat","fetan",""
"durumwheat","flakit",""
"durumwheat","hitosa",""
"durumwheat","malefia",""
"durumwheat","mangudo",""
"durumwheat","melfa",""
"durumwheat","mengenagna",""
"durumwheat","mukiye",""
"durumwheat","obsa",""
"durumwheat","rigeat",""
"durumwheat","tesfaye",""
"durumwheat","tole",""
"durumwheat","toltu",""
"durumwheat","tosa",""
"durumwheat","udie",""
"durumwheat","utuba",""
"durumwheat","wehabit",""
"durumwheat","yerer",""
"fababean","adona",""
"fababean","alloshe",""
"fababean","aloshe",""
