"trait","cor","pval","gender"
"faster_maturity",-0.0679272768660873,0.625608760122736,"Man"
"disease_resistance",0.581372507277746,4.05307668802488e-06,"Man"
"yield",0.87601263867442,4.34135704762454e-18,"Man"
"market_value",0.456070668050896,0.000530299748818227,"Man"
"lodging_tolerance",0.344234204617187,0.0108295555183456,"Man"
"adaptability_to_local_environment",0.0377203446477504,0.786602092631067,"Man"
"biomass_yield",0.0176060947654567,0.899473222267096,"Man"
"tillering_capacity",0.128502236270274,0.354549276697361,"Man"
"spike_length",0.110040809376297,0.428412812143345,"Man"
"frost_resistance",0.01390040477013,0.920554766922334,"Man"
"pest_resistance",0.571837786817818,6.31234235027206e-06,"Man"
"drought_resistance",0.425044392537637,0.00136051396245664,"Man"
"taste",0.229447639479695,0.09520796954105,"Man"
"germination",-0.00859690292806004,0.950817154857049,"Man"
"plant_architecture",0.271001744232565,0.0475252891491471,"Man"
"seed_size",0.229039958025467,0.0958136675592227,"Man"
"straw_yield",0.150570930506119,0.277258524825368,"Man"
"the_spike_has_more_than_2rows",0.064003893925258,0.645749059450564,"Man"
"white_seed_color",0.158900009180008,0.251234796609192,"Man"
"perception",-0.00770530166986308,0.955912667158064,"Man"
"faster_maturity",-0.128385592727788,0.407884583592094,"Woman"
"disease_resistance",0.480722453414654,0.000997204224592546,"Woman"
"yield",0.725723073058478,2.79006552196006e-08,"Woman"
"market_value",0.339238866160543,0.0247796458149168,"Woman"
"lodging_tolerance",0.157766045393613,0.308107346635512,"Woman"
"adaptability_to_local_environment",0.00788346326798061,0.959636520460722,"Woman"
"biomass_yield",0.00788346326798061,0.959636520460722,"Woman"
"tillering_capacity",0.108620174105834,0.484317287354056,"Woman"
"spike_length",0.128904962578763,0.405974590408121,"Woman"
"frost_resistance",-8.75249309526738e-19,1,"Woman"
"pest_resistance",0.408207903198647,0.00612373107035457,"Woman"
"drought_resistance",0.37810556977691,0.0116792153395799,"Woman"
"taste",0.176068515068785,0.25461009337595,"Woman"
"germination",0.0420324830440072,0.787196733156183,"Woman"
"plant_architecture",0.196134931272431,0.203548196727039,"Woman"
"seed_size",0.122187194016348,0.431074461843028,"Woman"
"straw_yield",0.0966279168870385,0.534090558300757,"Woman"
"the_spike_has_more_than_2rows",-0.0606302909929332,0.696844734566986,"Woman"
"white_seed_color",0.184223538740911,0.232912036596363,"Woman"
"perception",-0.0438406639751231,0.778268223959347,"Woman"
