"trait","cor","pval","gender"
"vigor",0.00336358322285405,0.984489685808997,"Man"
"faster_maturity",0.406649592820248,0.0139884974362171,"Man"
"disease_resistance",0.775810060026726,2.85887490395616e-08,"Man"
"yield",0.814012085328713,1.65386216918351e-09,"Man"
"market_value",0.396951744799974,0.0166870158044805,"Man"
"pest_resistance",0.771247042132476,3.87190222161358e-08,"Man"
"seed_color",0.368402393979294,0.0272757239568331,"Man"
"drought_resistance",0.711324268899289,1.20005450364317e-06,"Man"
"germination",0.717306213151609,8.86048817126032e-07,"Man"
"plant_architecture",0.0701925151619984,0.684600639448919,"Man"
"seed_size",0.109371208392098,0.526055312741981,"Man"
"ranching",0.0140495943402514,0.935277885189281,"Man"
"number_of_pods_per_plant",0.142820530505487,0.406694030361477,"Man"
"cooking_quality",0.0168171550302603,0.922563741446803,"Man"
"ground_cover",0.0589759959942003,0.732982668594767,"Man"
"vigor",-0.0123681596649778,0.950902657761426,"Woman"
"faster_maturity",0.397644937777627,0.0388652883216534,"Woman"
"disease_resistance",0.644637530099872,0.000262247552333854,"Woman"
"yield",0.766814411879365,2.71523288911879e-06,"Woman"
"market_value",0.267401658917445,0.175092070584928,"Woman"
"pest_resistance",0.618158986289003,0.000549019887054011,"Woman"
"seed_color",0.263813163195988,0.181175330348327,"Woman"
"drought_resistance",0.655778724958873,0.000188169695442971,"Woman"
"germination",0.656199147188473,0.000185778757451563,"Woman"
"plant_architecture",0.22188491775565,0.263310479260056,"Woman"
"seed_size",0.159139904584948,0.425259382678292,"Woman"
"ranching",0.204039119660409,0.304610215748247,"Woman"
"number_of_pods_per_plant",0.230780429844931,0.244150697020275,"Woman"
"cooking_quality",-0.0247344272832239,0.901987278125239,"Woman"
"ground_cover",0.113908927617201,0.569411946158453,"Woman"
