"trait","cor","pval","gender"
"faster_maturity",-0.0406128701315128,0.851918700713591,"Man"
"disease_resistance",0.480329073942719,0.0185905694018684,"Man"
"yield",0.626509999904892,0.00117352625103636,"Man"
"pest_resistance",0.527109236200612,0.00873776667348559,"Man"
"drought_resistance",0.169216503374193,0.433549818012422,"Man"
"faster_maturity",-0.28973522949326,0.207487294236073,"Woman"
"disease_resistance",0.494748677203623,0.0240696472768975,"Woman"
"yield",0.586315149989673,0.00571154786190812,"Woman"
"pest_resistance",0.430374504489667,0.0539924446954018,"Woman"
"drought_resistance",0.0354240831666774,0.880110613632965,"Woman"
