"trait","cor","pval","gender"
"vigor",0.0875105714569166,0.594562752710605,"Man"
"faster_maturity",0.0747300935961638,0.649635959525746,"Man"
"disease_resistance",-0.24931967027743,0.124088437522693,"Man"
"yield",0.672426775262504,2.47082664506588e-06,"Man"
"spike_length",0.0320515775758388,0.845697022703863,"Man"
"pest_resistance",0.280884430211555,0.0818113330645905,"Man"
"seed_color",0.280427389341628,0.0823306372897292,"Man"
"drought_resistance",0.312713114489453,0.0514863282357417,"Man"
"germination",0.151155192017954,0.356074615370562,"Man"
"plant_architecture",0.0846189158590612,0.606843608602058,"Man"
"seed_size",0.643142182711228,9.14772267230537e-06,"Man"
"productive_tiller",0.0405944617226443,0.805279045104986,"Man"
"straw_yield",0.417598336802936,0.00787027890375919,"Man"
"vigor",-0.0654031292386707,0.749543786198188,"Woman"
"faster_maturity",0.0452959290884948,0.825114681620353,"Woman"
"disease_resistance",-0.417884309058521,0.0326452467991709,"Woman"
"yield",0.500000000059208,0.00889962373538739,"Woman"
"spike_length",0.0654031292386707,0.749543786198188,"Woman"
"pest_resistance",0.434676421818844,0.0256335682026188,"Woman"
"seed_color",0.0854838056710204,0.676257044634845,"Woman"
"drought_resistance",0.355490833344674,0.0730679327722065,"Woman"
"germination",0.0452959290884948,0.825114681620353,"Woman"
"plant_architecture",0.0922683594753154,0.652094055295951,"Woman"
"seed_size",0.713610154484439,3.8510146521493e-05,"Woman"
"productive_tiller",-0.105529814827251,0.605856294350686,"Woman"
"straw_yield",0.666801132671222,0.000183181717975915,"Woman"
