"trait","cor","pval","gender"
"vigor",0.247983344946905,0.034560784512607,"Man"
"faster_maturity",0.343307216633385,0.00296963291330039,"Man"
"disease_resistance",0.701996780615605,4.73592499895377e-12,"Man"
"yield",0.93540913952047,1.00437098858022e-33,"Man"
"market_value",0.51694475285432,2.89403885941347e-06,"Man"
"lodging_tolerance",0.223681761997895,0.0573510264580091,"Man"
"adaptability_to_local_environment",0.148192382884956,0.211262118184175,"Man"
"biomass_yield",0.0711749595341808,0.549942581754723,"Man"
"tillering_capacity",0.132136190966263,0.265544550656026,"Man"
"spike_length",0.044160220929837,0.710904738431351,"Man"
"pod_performance",0.144271487678349,0.223729237807855,"Man"
"pest_resistance",0.567495588823272,1.68885355402569e-07,"Man"
"seed_color",0.45857054100329,4.57407447034315e-05,"Man"
"straw_biomass",0.000668993275055854,0.995522145623668,"Man"
"drought_resistance",0.683533615005525,2.77737594661303e-11,"Man"
"taste",0.266315947683568,0.0228827279700625,"Man"
"germination",0.250001685788404,0.0330698397049194,"Man"
"plant_architecture",0.402269434857245,0.00042380876264405,"Man"
"seed_size",0.343162798141918,0.0029825332994039,"Man"
"flour_and_baking_quality",0.165148252299845,0.16300697012981,"Man"
"nutritional_quality",0.160471265877689,0.175419472266936,"Man"
"leaf",0.210569121303414,0.0740094587628287,"Man"
"grain_per_spike",0.132136190966263,0.265544550656026,"Man"
"shoot_fly_resistance",0.044160220929837,0.710904738431351,"Man"
"productive_tiller",0.185911607186906,0.115634527219053,"Man"
"number_of_seed_per_pods",0.0987554158107919,0.406260324678099,"Man"
"number_of_pods_per_plant",0.0987554158107919,0.406260324678099,"Man"
"number_of_branches",0.0987554158107919,0.406260324678099,"Man"
"vigor",0.253487792343584,0.0458443717476987,"Woman"
"faster_maturity",0.403933505143507,0.00107423290749312,"Woman"
"disease_resistance",0.701574887393131,1.77160878144667e-10,"Woman"
"yield",0.937406458105363,2.01696220371436e-29,"Woman"
"market_value",0.563405559422359,1.6779741287307e-06,"Woman"
"lodging_tolerance",0.215160123439833,0.0916170694854355,"Woman"
"adaptability_to_local_environment",0.0357548156818099,0.781684289395732,"Woman"
"biomass_yield",0.0189894877137747,0.883015241580906,"Woman"
"tillering_capacity",0.0866058282657632,0.501388961435078,"Woman"
"spike_length",0.0289007955049824,0.822775609603376,"Woman"
"pod_performance",0.037587553062295,0.770791606661066,"Woman"
"pest_resistance",0.553076512034975,2.83356903718938e-06,"Woman"
"seed_color",0.395505900954343,0.00139415015208275,"Woman"
"straw_biomass",-0.00552122441567565,0.965876931015507,"Woman"
"drought_resistance",0.632020410715019,3.13337106948357e-08,"Woman"
"taste",0.318667755077198,0.0112258710302367,"Woman"
"germination",0.243940496985897,0.0549580635601164,"Woman"
"plant_architecture",0.451266961845982,0.000217621011256844,"Woman"
"seed_size",0.342089843788337,0.00626478361064853,"Woman"
"flour_and_baking_quality",0.13072802441251,0.30901868467828,"Woman"
"nutritional_quality",0.124266753207248,0.333744286015466,"Woman"
"leaf",0.248531104458106,0.0504073995500727,"Woman"
"grain_per_spike",0.0866058282657632,0.501388961435078,"Woman"
"shoot_fly_resistance",0.0289007955049824,0.822775609603376,"Woman"
"productive_tiller",0.229155276627297,0.0719277316973351,"Woman"
"number_of_seed_per_pods",0.132353854281403,0.302988000244831,"Woman"
"number_of_pods_per_plant",0.132353854281403,0.302988000244831,"Woman"
"number_of_branches",0.132353854281403,0.302988000244831,"Woman"
