"trait","cor","pval","gender"
"vigor",0.498783824609872,0.000289198326936789,"Man"
"faster_maturity",0.524633153762253,0.000120412120014672,"Man"
"yield",0.470252079399557,0.000704016198961289,"Man"
"market_value",0.634981395992723,1.11813607801919e-06,"Man"
"biomass_yield",0.446379426662264,0.00140002867090772,"Man"
"pest_resistance",0.630519650957357,1.40020138773761e-06,"Man"
"drought_resistance",0.593739399059205,7.87620734497035e-06,"Man"
"taste",0.630266232874835,1.41805545863197e-06,"Man"
"germination",0.576829897931761,1.62588214848634e-05,"Man"
"plant_architecture",0.478576823481234,0.000547387506879757,"Man"
"flour_and_baking_quality",0.603919957095208,4.98941612489954e-06,"Man"
"nutritional_quality",0.707106781259062,1.6669100780152e-08,"Man"
"ear_length",0.369580544303743,0.00940229959154778,"Man"
"number_of_ear_per_plant",0.51001486576642,0.000199341021720458,"Man"
"kernel_size",0.676189994376922,1.16686882219238e-07,"Man"
"vigor",0.395654068982209,0.00479206603524995,"Woman"
"faster_maturity",0.484662834693282,0.000403914075149876,"Woman"
"yield",0.356467195559482,0.0117320246361506,"Woman"
"market_value",0.655928601770451,2.92406551525435e-07,"Woman"
"biomass_yield",0.444770257841581,0.00132903440552483,"Woman"
"pest_resistance",0.525075214242514,0.000103245622600331,"Woman"
"drought_resistance",0.500000000059208,0.00024552833355324,"Woman"
"taste",0.681159198357741,6.68393796922088e-08,"Woman"
"germination",0.463086228130104,0.000783067883675189,"Woman"
"plant_architecture",0.36478614526255,0.00978683783075376,"Woman"
"flour_and_baking_quality",0.552480516292624,3.69362753189002e-05,"Woman"
"nutritional_quality",0.683226743247242,5.88450832179184e-08,"Woman"
"ear_length",0.264727417507235,0.0653828131062336,"Woman"
"number_of_ear_per_plant",0.469132373495723,0.000653318723466162,"Woman"
"kernel_size",0.606984697858835,3.57146173271611e-06,"Woman"
