"trait","cor","pval","gender"
"vigor",0.619810884682301,0.00055653092156803,"Man"
"faster_maturity",0.314544756191273,0.109655123855601,"Man"
"disease_resistance",0.717672126365962,2.45852410218448e-05,"Man"
"yield",0.865614768384571,5.35413866711429e-09,"Man"
"market_value",0.622298292512807,0.000520777537053263,"Man"
"lodging_tolerance",0.183749517840289,0.358362647868421,"Man"
"pest_resistance",0.662317623007751,0.000164733758310724,"Man"
"drought_resistance",0.730421102572055,1.48867015597165e-05,"Man"
"taste",-0.0133114401294519,0.947399931534862,"Man"
"germination",0.560874243285372,0.00231299441390684,"Man"
"leaf",-0.111964476117866,0.577777296599228,"Man"
"shattering",0.24017821219532,0.227021069718895,"Man"
"vigor",0.606734523676764,0.00136416032389112,"Woman"
"faster_maturity",0.26056261398422,0.210317042992582,"Woman"
"disease_resistance",0.746842263045267,1.95105076992986e-05,"Woman"
"yield",0.841684568667402,1.51718471410637e-07,"Woman"
"market_value",0.711631907773283,7.12320422628748e-05,"Woman"
"lodging_tolerance",0.158398024427723,0.451414755358211,"Woman"
"pest_resistance",0.52941849606411,0.00672702155687115,"Woman"
"drought_resistance",0.616417191815696,0.00108498047476752,"Woman"
"taste",0.032549613951619,0.877761662853026,"Woman"
"germination",0.564180511558154,0.00344176347299197,"Woman"
"leaf",0.0273623741520641,0.897131456199989,"Woman"
"shattering",0.184515930274124,0.379264406207414,"Woman"
