"trait","cor","pval","gender"
"vigor",0.117019712848522,0.294397922120934,"Man"
"faster_maturity",0.356456863493123,0.000995541446566848,"Man"
"disease_resistance",0.513448866410684,7.80948947093956e-07,"Man"
"yield",0.89301351527005,1.49595665416811e-29,"Man"
"market_value",0.62192332784019,4.23042742197629e-10,"Man"
"lodging_tolerance",0.321712475908727,0.00316139395458027,"Man"
"adaptability_to_local_environment",0.123547257354223,0.268098884573923,"Man"
"biomass_yield",0.45099786407235,2.0591512454855e-05,"Man"
"panicle_performance",0.183801656790749,0.0978488862457156,"Man"
"tillering_capacity",0.507937806973777,1.07054167959679e-06,"Man"
"spike_length",0.116861109455226,0.295057338778523,"Man"
"pest_resistance",0.235709238064974,0.0327675229966174,"Man"
"seed_color",0.296818620287865,0.00669161740964577,"Man"
"straw_biomass",0.0192005640615107,0.863858012523894,"Man"
"drought_resistance",0.46463829761645,1.06333553956509e-05,"Man"
"taste",0.192177055965701,0.0832361249389686,"Man"
"germination",0.202422938710912,0.0677791951415826,"Man"
"plant_architecture",0.339035320026711,0.00180636748365696,"Man"
"seed_size",0.123121810181266,0.269763106428724,"Man"
"flour_and_baking_quality",0.0240838445449485,0.829700813243486,"Man"
"nutritional_quality",0.100425620157756,0.368644425474506,"Man"
"leaf",0.128111833937043,0.250678993339613,"Man"
"grain_per_spike",0.208826165699033,0.0593574643667184,"Man"
"shoot_fly_resistance",0.100808237714123,0.366813510736457,"Man"
"color",0.207189504151037,0.0614244267874293,"Man"
"not_fall_due_to_height",0.0708954508404782,0.52617761241565,"Man"
"injera_quality",0.0773702062397094,0.488995597490331,"Man"
"ranching",0.047422364974739,0.671790835207195,"Man"
"uniform_maturity",0.0467747457925494,0.676020980813972,"Man"
"good_seedling",0.0467747457925494,0.676020980813972,"Man"
"injera_softness",-0.000976863232073871,0.993040303806835,"Man"
"rain_resistance",0,1,"Man"
"stress_tolerant",0.104041786816616,0.351563212162757,"Man"
"vigor",0.190240167705443,0.115412884952756,"Woman"
"faster_maturity",0.515614485605508,5.14359747916419e-06,"Woman"
"disease_resistance",0.59249110238579,6.94659164054639e-08,"Woman"
"yield",0.894361436304015,2.33848443388919e-25,"Woman"
"market_value",0.578171546490414,1.68542848701759e-07,"Woman"
"lodging_tolerance",0.328476701128233,0.00559301366746022,"Woman"
"adaptability_to_local_environment",0.0886221753122665,0.466547734955793,"Woman"
"biomass_yield",0.217853891788517,0.0705884672178912,"Woman"
"panicle_performance",0.24598890879983,0.0404988979329734,"Woman"
"tillering_capacity",0.602701324079378,3.59481110985754e-08,"Woman"
"spike_length",0.207038923422724,0.086106717328405,"Woman"
"pest_resistance",0.237191829076468,0.0484781967567661,"Woman"
"seed_color",0.189728661658333,0.11641257260571,"Woman"
"straw_biomass",0.0123735721501218,0.919182817075254,"Woman"
"drought_resistance",0.48729314954024,1.95779299417235e-05,"Woman"
"taste",0.188813751855138,0.118217242098476,"Woman"
"germination",0.269546885766819,0.0243187046758677,"Woman"
"plant_architecture",0.391472737220705,0.000824304620410429,"Woman"
"seed_size",0.097601699903579,0.422425547561478,"Woman"
"flour_and_baking_quality",0.0491728397787337,0.686620460117707,"Woman"
"nutritional_quality",0.0653190753210107,0.591842163706677,"Woman"
"leaf",0.167217115182485,0.167318772070176,"Woman"
"grain_per_spike",0.277156755432582,0.0204378751847677,"Woman"
"shoot_fly_resistance",0.13315535708732,0.272762413046209,"Woman"
"color",0.271399794732307,0.0233204566049206,"Woman"
"not_fall_due_to_height",0.114554791327748,0.345977940607707,"Woman"
"injera_quality",0.0293826060217685,0.809570723690395,"Woman"
"ranching",0.02451018300542,0.840694095674125,"Woman"
"uniform_maturity",0.010579930544955,0.930866729582788,"Woman"
"good_seedling",0.010579930544955,0.930866729582788,"Woman"
"injera_softness",-0.0119752893123089,0.921775875282469,"Woman"
"rain_resistance",0.00798363222378076,0.947804392379474,"Woman"
"stress_tolerant",0.0410141602296444,0.736535732587784,"Woman"
